Nivå	Hovedtype_kode	Hovedtype_navn	Kode	Sammensatt_kode	Navn_Kartleggingsenheter 1:2500 for terrestre systemer	Grunntypenr	Grunntypekoder
NA	T39		T39-B-4	NA T39-B-4	dagbrudd, vegskjæringer i fjell o.l. under gjengroing	4	T39-4
NA	T39		T39-B-5	NA T39-B-5	fast fjell blottlagt ved tørrlegging	5	T39-5
NA	T39		T39-B-6	NA T39-B-6	fast fjell blottlagt ved tørrlegging under gjengroing	6	T39-6
NA	T39		T39-B-7	NA T39-B-7	metalloverflater, glass, glassfiber o.l.	7	T39-7
NA	T39		T39-B-8	NA T39-B-8	metalloverflater, glass, glassfiber o.l. under gjengroing	8	T39-8
NA	T40	Eng-liknende sterkt endret fastmark		NA T40			
NA	T40		T40-B-1	NA T40-B-1	eng-liknende sterkt endret fastmark	1	T40
NA	T41	Eng-liknende oppdyrket mark		NA T41			
NA	T41		T41-B-1	NA T41-B-1	eng-liknende oppdyrket mark	1	T41
NA	T42	Blomsterbed og liknende		NA T42			
NA	T42		T42-B-1	NA T42-B-1	blomsterbed og liknende	1	T42
NA	T43	Plener, parker og liknende		NA T43			
NA	T43		T43-B-1	NA T43-B-1	plener, parker og liknende	1	T43
NA	T44	Åker		NA T44			
NA	T44		T44-B-1	NA T44-B-1	åker	1	T44
NA	T45	Oppdyrket varig eng		NA T45			
NA	T45		T45-B-1	NA T45-B-1	oppdyrket lite intensiv beitemark	1	T45-1
NA	T45		T45-B-2	NA T45-B-2	oppdyrket lite intensiv slåtteeng	2	T45-2
NA	T45		T45-B-3	NA T45-B-3	oppdyrket intensiv slåtteeng	3	T45-3
NA	T45		T45-B-4	NA T45-B-4	oppdyrket svært intensiv slåtteeng	4	T45-4
NA	V1	Åpen jordvannsmyr		NA V1			
NA	V1		V1-B-1	NA V1-B-1	svært og temmelig kalkfattige mykmatter og nedre fastmatter	1,2	V1-1,V1-2
NA	V1		V1-B-2	NA V1-B-2	svært og temmelig kalkfattige øvre fastmatter  og tuenivå	3,4,5	V1-3,V1-4,V1-5
NA	V1		V1-B-3	NA V1-B-3	litt kalkfattige og svakt intermediære mykmatter og nedre fastmatter	6,7	V1-6,V1-7
NA	V1		V1-B-4	NA V1-B-4	litt kalkfattige og svakt intermediære øvre fastmatter og tuenivå	8,9	V1-8,V1-9
NA	V1		V1-B-5	NA V1-B-5	sterkt intermediære og litt kalkrike mykmatter og nedre fastmatter	10,11	V1-10,V1-11
NA	V1		V1-B-6	NA V1-B-6	sterk intermediære og litt kalkrike øvre fastmatter og nedre tuenivå	12,13	V1-12,V1-13
NA	V1		V1-B-7	NA V1-B-7	temmelig og svært kalkrik mykmatte og nedre fastmatte	14,15	V1-14,V1-15
NA	V1		V1-B-8	NA V1-B-8	temmelig til ekstremt kalkrik øvre fastmatte og nedre tuenivå	16,19,20	V1-16,V1-19,V1-20
NA	V1		V1-B-9	NA V1-B-9	ekstremt kalkrik mykmatte og nedre fastmatte	17,18	V1-17,V1-18
NA	V1		V1-B-10	NA V1-B-10	svært og temmelig kalkfattig mykmatte og nedre fastmatte i myrkant	21	V1-21
NA	V1		V1-B-11	NA V1-B-11	svært og temmelig kalkfattig øvre fastmatte og tuer i myrkant	22	V1-22
NA	V1		V1-B-12	NA V1-B-12	litt kalkfattig og svakt intermediær mykmatte og nedre fastmatte i myrkant	23	V1-23
NA	V1		V1-B-13	NA V1-B-13	litt kalkfattig og svakt intermediær øvre fastmatte og nedre tuenivå i myrkant	24	V1-24
NA	V1		V1-B-14	NA V1-B-14	temmelig og svært kalkrik mykmatte	25	V1-25
NA	V1		V1-B-15	NA V1-B-15	temmelig og svært kalkrik nedre fastmatte	26	V1-26
NA	V1		V1-B-16	NA V1-B-16	temmelig og svært kalkrik mykmatte og nedre fastmatte i myrkant	27	V1-27
NA	V1		V1-B-17	NA V1-B-17	ekstremt kalkrik mykmatte og nedre fastmatte i myrkant	28	V1-28
NA	V1		V1-B-18	NA V1-B-18	temmelig til ekstremt kalkrik øvre fastmatte og nedre tuenivå i myrkant	29	V1-29
NA	V1		V1-B-19	NA V1-B-19	sterkt intermediær og litt kalkrik kildemyr	30	V1-30
NA	V1		V1-B-20	NA V1-B-20	temmelig og svært kalkrik kildemyr	31	V1-31
NA	V1		V1-B-21	NA V1-B-21	saltpåvirket myrkant	32	V1-32
NA	V2	Myr- og sumpskogsmark		NA V2			
NA	V2		V2-B-1	NA V2-B-1	kalkfattig og svakt intermediær myr- og sumpskogsmatte	1	V2-1
NA	V2		V2-B-2	NA V2-B-2	kalkfattig og svakt intermediær myr- og sumpskogstue	2	V2-2
NA	V2		V2-B-3	NA V2-B-3	sterkt intermediær og litt kalkrik myr- og sumpskogsmatte	3	V2-3
NA	V2		V2-B-4	NA V2-B-4	sterkt intermediær og litt kalkrik myr- og sumpskogstue	4	V2-4
NA	V2		V2-B-5	NA V2-B-5	temmelig til ekstremt kalkrik myr- og sumpskogsmatte	5	V2-5
NA	V2		V2-B-6	NA V2-B-6	temmelig til ekstremt kalkrik myr- og sumpskogstue	6	V2-6
NA	V2		V2-B-7	NA V2-B-7	sterkt intermediær og litt kalkrik kildemyrskogsmark	7	V2-7
NA	V2		V2-B-8	NA V2-B-8	temmelig til ekstremt kalkrik kildemyrskogsmark	8	V2-8
NA	V3	Nedbørsmyr		NA V3			
NA	V3		V3-B-1	NA V3-B-1	ombrotrof mykmatte og nedre fastmatte	1,2	V3-1,V3-2
NA	V3		V3-B-2	NA V3-B-2	ombrotrof øvre fastmatte til øvre tuenivå	3,4,5,7	V3-3,V3-4,V3-5,V3-7
NA	V3		V3-B-3	NA V3-B-3	ombrotrof myrkant	6	V3-6
NA	V4	Kaldkilde		NA V4			
NA	V4		V4-B-1	NA V4-B-1	litt kalkfattig og svakt intermediær svakkilde	1	V4-1
NA	V4		V4-B-2	NA V4-B-2	sterkt intermediære og litt kalkrike kilder    	2,3	V4-2,V4-3
NA	V4		V4-B-3	NA V4-B-3	temmelig til ekstremt kalkrike kilder    	4,5	V4-4,V4-5
NA	V4		V4-B-4	NA V4-B-4	sterkt intermediære og litt kalkrike torvmarkskilder	6,7	V4-6,V4-7
NA	V4		V4-B-5	NA V4-B-5	temmelig til ekstremt kalkrike torvmarkskilder    	8,9	V4-8,V4-9
NA	V5	Varm kilde		NA V5			
NA	V5		V5-B-1	NA V5-B-1	svak varmkilde	1	V5-1
NA	V5		V5-B-2	NA V5-B-2	klar varmkilde	2	V5-2
NA	V6	Våtsnøleie og snøleiekilde		NA V6			
NA	V6		V6-B-1	NA V6-B-1	kalkfattig og intermediært moderat våtsnøleie	1	V6-1
NA	V6		V6-B-2	NA V6-B-2	kalkrikt moderat våtsnøleie	2	V6-2
NA	V6		V6-B-3	NA V6-B-3	kalkfattig og intermediært seint våtsnøleie	3	V6-3
NA	V6		V6-B-4	NA V6-B-4	kalkrikt seint våtsnøleie	4	V6-4
NA	V6		V6-B-5	NA V6-B-5	kalkfattig og intermediært ekstrem-våtsnøleie	5	V6-5
NA	V6		V6-B-6	NA V6-B-6	kalkrikt ekstrem-våtsnøleie	6	V6-6
NA	V6		V6-B-7	NA V6-B-7	kalkfattig og intermediært seint kildesnøleie	7	V6-7
NA	V6		V6-B-8	NA V6-B-8	kalkrikt seint kildesnøleie	8	V6-8
NA	V6		V6-B-9	NA V6-B-9	ekstrem-kildesnøleie	9	V6-9
NA	V7	Arktisk permafrost-våtmark		NA V7			
NA	V7		V7-B-1	NA V7-B-1	kalkfattig og intermediær permafrost-våtmark	1	V7-1
NA	V7		V7-B-2	NA V7-B-2	kalkrik permafrost-våtmark	2	V7-2
NA	V8	Strandsumpskogsmark		NA V8			
NA	V8		V8-B-1	NA V8-B-1	kalkfattig og intermediær strand- og sumpskogsmark	1	V8-1
NA	V8		V8-B-2	NA V8-B-2	kalkrik strand- og sumpskogsmark	2	V8-2
NA	V8		V8-B-3	NA V8-B-3	saltpåvirket strand- og sumpskogsmark	3	V8-3
NA	V9	Semi-naturlig myr		NA V9			
NA	V9		V9-B-1	NA V9-B-1	kalkfattig semi-naturlig myr	1	V9-1
NA	V9		V9-B-2	NA V9-B-2	intermediær semi-naturlig myr	2	V9-2
NA	V9		V9-B-3	NA V9-B-3	kalkrik semi-naturlig myr	3	V9-3
NA	V10	Semi-naturlig våteng		NA V10			
NA	V10		V10-B-1	NA V10-B-1	intermediær våteng	1	V10-1
NA	V10		V10-B-2	NA V10-B-2	kalkrik våteng	2	V10-2
NA	V10		V10-B-3	NA V10-B-3	kildevannspåvirket våteng	3	V10-3
NA	V11	Torvtak		NA V11			
NA	V11		V11-B-1	NA V11-B-1	kalkfattig torvtak	1	V11-1
NA	V11		V11-B-2	NA V11-B-2	kalkrikt torvtak	2	V11-2
NA	V12	Grøftet torvmark		NA V12			
NA	V12		V12-B-1	NA V12-B-1	grøftet kalkfattig jordvannsmyr	1	V12-1
NA	V12		V12-B-2	NA V12-B-2	grøftet kalkrik jordvannsmyr	2	V12-2
NA	V12		V12-B-3	NA V12-B-3	grøftet nedbørsmyr	3	V12-3
NA	V13	Ny våtmark		NA V13			
NA	V13		V13-B-1	NA V13-B-1	ny våtmark på tidligere fastmark 	1	V13-1
NA	V13		V13-B-2	NA V13-B-2	torvdannende ny våtmark på tidligere fastmark 	2	V13-2
NA	V13		V13-B-3	NA V13-B-3	ny våtmark på tidligere jordbruks-fastmark 	3	V13-3
NA	V13		V13-B-4	NA V13-B-4	torvdannende ny våtmark på tidligere jordbruks-fastmark	4	V13-4
NA	V13		V13-B-5	NA V13-B-5	ny våtmark på tidligere neddemt skogsmark	5	V13-5
NA	V13		V13-B-6	NA V13-B-6	torvdannende ny våtmark på tidligere neddemt skogsmark	6	V13-6
NA	V13		V13-B-7	NA V13-B-7	ny våtmark på tidligere ferskvannsbunn	7	V13-7
NA	V13		V13-B-8	NA V13-B-8	torvdannende ny våtmark på tidligere ferskvannsbunn	8	V13-8
NA	I1	Snø- og isdekt fastmark		NA I1			
NA	I1		I1-B-1	NA I1-B-1	snø- og isdekt fastmark	1	I1
